dataset,geo_level,file_id,checksum,rules_fingerprint,verdict,sheet,checked_at
mapbiomas_mining,municipality,299,c0ee4773502c409e0f0a4502aef47907,a4a3,fail,,2026-08-24
mapbiomas_mining,municipality,301,0c76606261231866c702406f44e70413,a4a3,fail,,2026-08-24
mapbiomas_mining,municipality,303,9018898d283acc7532c05fa79e85a986,a4a3,fail,,2026-08-24
mapbiomas_mining,municipality,322,209452ebd6daf7239b82381cf71c8595,a4a3,fail,,2026-08-24
mapbiomas_mining,municipality,324,312aa47cb6c24cb02778d400c4769c9f,a4a3,fail,,2026-08-24
mapbiomas_mining,municipality,326,3b540ccb08a8e7fd3dab294d768036ed,a4a3,fail,,2026-08-24
mapbiomas_mining,municipality,328,6a127747157a6a442886c6498cf5d944,a4a3,fail,,2026-08-24
mapbiomas_mining,municipality,336,bb0207dffc938f947b1e8c242002f7e3,a4a3,pass,CITY_STATE_BIOME,2026-08-24
mapbiomas_mining,municipality,457,dc556233cd78a3c55e8e668b0175f029,a4a3,fail,,2026-08-24
mapbiomas_mining,municipality,529,98b0e55e9f21c4411e3e252fd978ba7a,a4a3,fail,,2026-08-24
mapbiomas_secondary_vegetation,,310,9acd85abf7b2e679385c108528125219,c6ae,pass,SECONDARY_VEGETATION,2026-08-24
mapbiomas_secondary_vegetation,,535,be491918cdfb468dfbe3d2a578740407,c6ae,fail,,2026-08-24
mapbiomas_transition,biome,457,dc556233cd78a3c55e8e668b0175f029,6b56,pass,TRANSITION_10,2026-08-24
mapbiomas_transition,biome,535,be491918cdfb468dfbe3d2a578740407,6b56,fail,,2026-08-24
mapbiomas_water,biome,177,6c67e0dca2c97d6ce55e795e2af3fd74,b51d,fail,,2026-08-24
mapbiomas_water,biome,179,e999cf1d7c74445a162f9c615128a119,b51d,fail,,2026-08-24
mapbiomas_water,biome,214,07fbe8d6fc76c1ff1f7a4ceb1bc37de8,b51d,fail,,2026-08-24
mapbiomas_water,biome,216,90277a9c476b6c963e9afa8e2f1e4f76,b51d,fail,,2026-08-24
mapbiomas_water,biome,218,dbc83349c8465b8bd31b6de9b2fecb37,b51d,fail,,2026-08-24
mapbiomas_water,biome,228,825c8053c09f605f6e93b933823a551b,b51d,fail,,2026-08-24
mapbiomas_water,biome,264,90547d52878121200e48b1d0f3be8177,b51d,fail,,2026-08-24
mapbiomas_water,biome,281,701caed0c9084397a7a226df8337bddb,b51d,fail,,2026-08-24
mapbiomas_water,biome,295,4248d6c024df1f670e5e3f3e3489fec3,b51d,fail,,2026-08-24
mapbiomas_water,biome,297,2c9772c0e8937cc0176ecd2ed4e76827,b51d,fail,,2026-08-24
mapbiomas_water,biome,299,c0ee4773502c409e0f0a4502aef47907,b51d,fail,,2026-08-24
mapbiomas_water,biome,301,0c76606261231866c702406f44e70413,b51d,fail,,2026-08-24
mapbiomas_water,biome,303,9018898d283acc7532c05fa79e85a986,b51d,fail,,2026-08-24
mapbiomas_water,biome,322,209452ebd6daf7239b82381cf71c8595,b51d,fail,,2026-08-24
mapbiomas_water,biome,324,312aa47cb6c24cb02778d400c4769c9f,b51d,fail,,2026-08-24
mapbiomas_water,biome,326,3b540ccb08a8e7fd3dab294d768036ed,b51d,fail,,2026-08-24
mapbiomas_water,biome,328,6a127747157a6a442886c6498cf5d944,b51d,fail,,2026-08-24
mapbiomas_water,biome,336,bb0207dffc938f947b1e8c242002f7e3,b51d,fail,,2026-08-24
mapbiomas_water,biome,338,905f06f7034a1b97912336dfa2dc0075,b51d,fail,,2026-08-24
mapbiomas_water,biome,529,98b0e55e9f21c4411e3e252fd978ba7a,b51d,fail,,2026-08-24
mapbiomas_water,municipality,177,6c67e0dca2c97d6ce55e795e2af3fd74,aeef,fail,,2026-08-24
mapbiomas_water,municipality,179,e999cf1d7c74445a162f9c615128a119,aeef,fail,,2026-08-24
mapbiomas_water,municipality,214,07fbe8d6fc76c1ff1f7a4ceb1bc37de8,aeef,fail,,2026-08-24
mapbiomas_water,municipality,216,90277a9c476b6c963e9afa8e2f1e4f76,aeef,fail,,2026-08-24
mapbiomas_water,municipality,218,dbc83349c8465b8bd31b6de9b2fecb37,aeef,fail,,2026-08-24
mapbiomas_water,municipality,228,825c8053c09f605f6e93b933823a551b,aeef,fail,,2026-08-24
mapbiomas_water,municipality,264,90547d52878121200e48b1d0f3be8177,aeef,fail,,2026-08-24
mapbiomas_water,municipality,281,701caed0c9084397a7a226df8337bddb,aeef,fail,,2026-08-24
mapbiomas_water,municipality,295,4248d6c024df1f670e5e3f3e3489fec3,aeef,fail,,2026-08-24
mapbiomas_water,municipality,297,2c9772c0e8937cc0176ecd2ed4e76827,aeef,fail,,2026-08-24
mapbiomas_water,municipality,299,c0ee4773502c409e0f0a4502aef47907,aeef,fail,,2026-08-24
mapbiomas_water,municipality,301,0c76606261231866c702406f44e70413,aeef,fail,,2026-08-24
mapbiomas_water,municipality,303,9018898d283acc7532c05fa79e85a986,aeef,fail,,2026-08-24
mapbiomas_water,municipality,322,209452ebd6daf7239b82381cf71c8595,aeef,fail,,2026-08-24
mapbiomas_water,municipality,324,312aa47cb6c24cb02778d400c4769c9f,aeef,fail,,2026-08-24
mapbiomas_water,municipality,326,3b540ccb08a8e7fd3dab294d768036ed,aeef,fail,,2026-08-24
mapbiomas_water,municipality,328,6a127747157a6a442886c6498cf5d944,aeef,fail,,2026-08-24
mapbiomas_water,municipality,336,bb0207dffc938f947b1e8c242002f7e3,aeef,fail,,2026-08-24
mapbiomas_water,municipality,338,905f06f7034a1b97912336dfa2dc0075,aeef,fail,,2026-08-24
mapbiomas_water,municipality,529,98b0e55e9f21c4411e3e252fd978ba7a,aeef,fail,,2026-08-24
