survey,dataset,geo_level,year,sidra_code,url,docs_url,available_time,available_geo,archive_file,sheet,layer_name,version,resolver
prodes,hydrography,,,,,,,,,,,,prodes
prodes,native_vegetation,,,,,,,,,,,,prodes
prodes,non_forest,,,,,,,,,,,,prodes
prodes,residual_deforestation,,,,,,2010-2023,,,,,,prodes
seeg,,,,,https://drive.google.com/u/0/uc?confirm=bhfS&id=1rUc6H8BVKT9TH-ri6obzHVt7WI1eGUzd,,2000-2018,"country, state, municipality",,,,,
seeg,seeg,,,,,,,,,,,,
seeg,seeg_energy,,,,,,,,,,,,
seeg,seeg_farming,,,,,,,,,,,,
seeg,seeg_industry,,,,,,,,,,,,
seeg,seeg_land,,,,,,,,,,,,
seeg,seeg_residuals,,,,,,,,,,,,
sigmine,sigmine_active,,,,https://dadosabertos.anm.gov.br/SIGMINE/BRASIL.zip,,,,,,,,
terraclimate,,,,,http://thredds.northwestknowledge.net:8080/thredds/ncss,,1958-2022,municipality,,,,,
terraclimate,climatic_water_deficit,,,,,,,,,,,,
terraclimate,max_temperature,,,,,,,,,,,,
terraclimate,min_temperature,,,,,,,,,,,,
terraclimate,palmer_drought_severity_index,,,,,,,,,,,,
terraclimate,potential_evaporation,,,,,,,,,,,,
terraclimate,precipitation,,,,,,,,,,,,
terraclimate,runoff,,,,,,,,,,,,
terraclimate,shortwave_radiation_flux,,,,,,,,,,,,
terraclimate,snow_water_equivalent,,,,,,,,,,,,
terraclimate,soil_moisture,,,,,,,,,,,,
terraclimate,vapor_pressure,,,,,,,,,,,,
terraclimate,vapor_pressure_deficit,,,,,,,,,,,,
terraclimate,water_evaporation,,,,,,,,,,,,
terraclimate,wind_speed,,,,,,,,,,,,
