Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2015,Incremento20142015,Floresta2015,Nuvem2015,NaoObservado2015,NaoFloresta2015,Hidrografia2015,Soma 
 315,-10.52683,-48.99716,S 10 31 36.59,O 48 59 49.78,Nova Rosalândia,1715002,TO,518,0.0,0.0,0,0.0,0.0,518.4,0.0,100
 316,-4.02487,-58.58633,S 4 1 29.53,O 58 35 10.79,Nova Olinda do Norte,1303106,AM,5625,430.5,5.9,4379.8,102.7,0.0,281.0,431.0,100
 317,-2.94724,-45.95551,S 2 56 50.06,O 45 57 19.84,Nova Olinda do Maranhão,2107357,MA,2479,1196.5,3.7,1237.1,45.4,0.0,0.0,0.0,100
 318,-7.65097,-48.34524,S 7 39 3.49,O 48 20 42.86,Nova Olinda,1714880,TO,1573,799.0,0.0,15.0,0.0,0.0,759.0,0.0,99
 319,-14.75593,-57.41410,S 14 45 21.35,O 57 24 50.76,Nova Olímpia,5106232,MT,1554,996.1,0.4,241.2,0.0,0.0,316.7,0.0,99
 320,-14.14628,-51.79751,S 14 8 46.61,O 51 47 51.04,Nova Nazaré,5106174,MT,4042,201.9,0.1,1063.5,0.0,0.0,2769.7,6.9,100
 321,-13.52119,-56.08018,S 13 31 16.28,O 56 4 48.65,Nova Mutum,5106224,MT,9546,2892.1,13.9,3274.3,0.0,0.0,3372.4,7.2,100
 322,-9.92681,-57.28620,S 9 55 36.52,O 57 17 10.32,Nova Monte Verde,5108956,MT,5277,2375.0,6.3,2882.4,0.0,0.0,12.9,6.7,99
 323,-12.76195,-57.10309,S 12 45 43.02,O 57 6 11.12,Nova Maringá,5108907,MT,11528,3198.3,41.3,7636.0,0.0,0.0,685.5,8.2,99
 324,-14.29859,-57.29919,S 14 17 54.92,O 57 17 57.08,Nova Marilândia,5108857,MT,1942,978.8,2.7,399.4,0.0,0.0,563.8,0.0,100
 325,-10.40463,-64.77513,S 10 24 16.67,O 64 46 30.47,Nova Mamoré,1100338,RO,10241,3416.1,149.3,5116.8,306.7,0.0,1358.1,43.3,99
 326,-14.40230,-59.74060,S 14 24 8.28,O 59 44 26.16,Nova Lacerda,5106182,MT,4744,1842.5,12.4,1402.2,0.0,0.0,1499.3,0.0,100
 327,-5.01264,-49.20524,S 5 0 45.50,O 49 12 18.86,Nova Ipixuna,1504976,PA,1569,1152.0,3.6,198.6,2.0,0.0,122.6,93.8,100
 328,-6.77152,-44.14319,S 6 46 17.47,O 44 8 35.48,Nova Iorque,2107308,MA,992,0.0,0.0,483.4,0.0,0.0,508.6,0.0,100
 329,-10.27172,-55.31582,S 10 16 18.19,O 55 18 56.95,Nova Guarita,5108808,MT,1087,932.4,2.4,154.0,0.0,0.0,0.0,0.6,100
 330,-2.39441,-46.79100,S 2 23 39.88,O 46 47 27.60,Nova Esperança do Piriá,1504950,PA,2829,1554.1,2.7,1255.2,19.7,0.0,0.0,0.0,100
 331,-7.17281,-46.20838,S 7 10 22.12,O 46 12 30.17,Nova Colinas,2107258,MA,748,0.0,0.0,0,0.0,0.0,748.8,0.0,100
 332,-10.67042,-56.03587,S 10 40 13.51,O 56 2 9.13,Nova Canaã do Norte,5106216,MT,5975,3012.4,17.9,1866.1,0.0,0.0,1059.4,37.1,100
 333,-11.55983,-62.27351,S 11 33 35.39,O 62 16 24.64,Nova Brasilândia D'Oeste,1100148,RO,1167,901.6,0.9,200.3,0.0,0.0,65.1,0.0,100
 334,-14.74307,-55.22435,S 14 44 35.05,O 55 13 27.66,Nova Brasilândia,5106208,MT,3268,1167.0,0.2,191.4,0.0,0.0,1881.9,27.7,100
 335,-9.69690,-57.96980,S 9 41 48.84,O 57 58 11.28,Nova Bandeirantes,5106158,MT,9558,3283.6,36.6,6052.5,0.0,0.0,91.0,130.9,99
 336,-15.93303,-56.34870,S 15 55 58.91,O 56 20 55.32,Nossa Senhora do Livramento,5106109,MT,5200,110.2,0.5,82.4,0.0,0.0,5005.1,2.3,99
 337,-14.38974,-56.69911,S 14 23 23.06,O 56 41 56.80,Nortelândia,5106000,MT,1353,919.8,0.7,282.8,0.0,0.0,150.4,0.0,100
 338,3.83663,-60.03254,N 3 50 11.87,O 60 1 57.14,Normandia,1400407,RR,7003,19.5,0.0,488.2,20.8,0.0,6451.9,22.6,99
 339,-14.39797,-55.78737,S 14 23 52.69,O 55 47 14.53,Nobres,5105903,MT,3765,349.8,0.1,235.5,0.0,0.0,3179.7,0.0,99
 340,-1.08094,-58.44390,S 1 4 51.38,O 58 26 38.04,Nhamundá,1303007,AM,14132,491.1,4.8,11436.3,752.3,0.0,344.4,1107.9,100
 341,-6.32397,-47.78166,S 6 19 26.29,O 47 46 53.98,Nazaré,1714302,TO,398,283.5,0.0,31.4,0.0,0.0,83.1,0.0,100
 342,-11.72544,-47.62384,S 11 43 31.58,O 47 37 25.82,Natividade,1714203,TO,3260,0.0,0.0,0,0.0,0.0,3260.4,0.0,100
 343,-7.01662,-48.76894,S 7 0 59.83,O 48 46 8.18,Muricilândia,1713957,TO,1193,959.4,4.4,207.4,0.0,0.0,0.0,26.2,100
 344,2.53531,-62.00364,N 2 32 7.12,O 62 0 13.10,Mucajaí,1400308,RR,12878,1844.3,22.1,7678.2,3120.6,0.0,196.3,38.6,99
 345,-1.31435,-49.34437,S 1 18 51.66,O 49 20 39.73,Muaná,1504901,PA,3776,100.6,0.0,1420.8,407.6,0.0,1361.3,485.7,99
